Subject,Number,Name,Frequency
CS,1000,The Beauty and Joy of Computing,"Spring 2020, Fall 2019, Spring 2019, Fall 2018"
CS,1100,Applied Programming and Problem Solving with Python,"Spring 2023, Fall 2022, Spring 2022, Fall 2021"
CS,1101,Programming and Problem Solving,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,1103,Introductory Programming for Engineers and Scientists,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,1104,Programming and Problem Solving with Python,"Spring 2022, Fall 2021, Spring 2021, Fall 2020, Spring 2020"
CS,1151,Computers and Ethics,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,2201,Program Design and Data Structures,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,2204,Program Design and Data Structures for Scientific Computing,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,2212,Discrete Structures,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,2231,Computer Organization,"Spring 2020, Fall 2019, Spring 2019, Fall 2018"
CS,3250,Algorithms,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,3251,Intermediate Software Design,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,3252,"Theory of Automata, Formal Languages, and Computation","Spring 2023, Fall 2021"
CS,3253,Parallel Functional Programming,"Fall 2022, Fall 2021, Fall 2020"
CS,3254,Concurrent Object-Oriented Programming,"Spring 2022, Spring 2021"
CS,3258,Introduction to Computer Graphics,"Spring 2021, Spring 2019"
CS,3262,Applied Machine Learning,"Spring 2023, Fall 2022, Spring 2022"
CS,3265,Database Management Systems,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,3270,Programming Languages,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,3274,Modeling and Simulation,"Spring 2021, Spring 2019"
CS,3276,Compiler Construction,"Fall 2022, Spring 2020"
CS,3281,Principles of Operating Systems I,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,3860,Undergraduate Research,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,3861,Undergraduate Research,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,4239,Cyber-Physical Systems: Foundations and Project,"Spring 2023, Spring 2022 (CS 3892)"
CS,4247,Data Visualization,"Spring 2023, Spring 2022 (CS 3891)"
CS,4249,Projects in Virtual Reality Design,"Fall 2022, Fall 2021"
CS,4260,Artificial Intelligence,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Fall 2020"
CS,4262,Foundations of Machine Learning,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Fall 2020"
CS,4266,Topics in Big Data,"Spring 2023, Spring 2022, Spring 2021, Spring 2019"
CS,4267,Deep Learning,Spring 2022
CS,4269,Project in Artificial Intelligence,"Spring 2023, Fall 2022, Spring 2022, Spring 2021, Spring 2019"
CS,4275,Error Analysis in Safety Critical Systems,Spring 2023. Spring 2022 (CS 3891)
CS,4277,Cyber Security,"Fall 2022, Fall 2021"
CS,4278,Principles of Software Engineering,"Spring 2023, Fall 2022, Spring 2022, Fall 2021, Spring 2021"
CS,4279,Software Engineering Project,"Spring 2023, Spring 2022, Spring 2021, Spring 2019"
CS,4283,Computer Networks,"Fall 2022, Spring 2022, Fall 2021, Spring 2021, Fall 2020"
CS,4285,Network Security,"Fall 2019, Fall 2018"
CS,4287,Principles of Cloud Computing,"Spring 2023, Fall 2022, Fall 2021, Spring 2021, Fall 2020"
CS,4288,Web-based System Architecture,"Fall 2022, Fall 2021, Fall 2020, Fall 2019, Spring 2019"
CS,4289,Project in Web-Based Software Architecture,"Spring 2023, Spring 2022 (CS 3892)"
CS,4352,Social Network Analysis,"Fall 2022, Fall 2021 (CS 3891)"
CS,4376,Foundations of Human Computer Interaction,Fall 2022
CS,4959,Computer Science Seminar,"Fall 2022, Spring 2022, Fall 2021, Spring 2021, Fall 2020"
CS,103891,Special Topics - Numerical Methods for CS,Fall 2022
CS,113891,Special Topics - Scalable Microservices,Spring 2023
CS,123891,Special Topics - The Algorithms of Robotics,"Spring 2023, Spring 2022"
CS,133891,Special Topics - Computational Creativity,Spring 2023
CS,143891,Special Topics - Reinforcement Learning,"Fall 2022, Fall 2021"
CS,153891,Special Topics - Mach Lrn / Nat Lang Proc Hlthc,"Spring 2023, Spring 2022"
CS,163891,Special Topics - Reverse Engineering,Spring 2022
CS,173891,Special Topics - Computing and the Environment,Fall 2021
CS,183891,Special Topics - Fndatns Human/Computer Intract,Fall 2021
CS,193891,Special Topics - Network Analysis in Healthcare,"Fall 2022, Fall 2021"
CS,123892,Special Topics - Projects in Machine Learning,"Spring 2023, Spring 2022"
CS,143892,Special Topics - Autonomous Vehicles,"Spring 2023, Spring 2023"
