Tid,Over_rate,Name,Diff_rate
197194,2.6,Douglas Fisher,3.7
198017,4.1,Xenofon Koutsoukos,2
351771,3.1,Jeremy Spinrad,4.3
464447,2.3,Robert Bodenheimer,4
522370,2.6,Gabor Karsai,3.4
555719,3.7,Julie Johnson,2.6
881194,2.7,Gayathri Narasimham,2
938344,3.4,Aniruddha Gokhale,2.5
959798,4.7,Nilanjan Sarkar,2.8
1040800,2.8,Gautam Biswas,2.9
1047798,4.2,Akos Ledeczi,2.5
1728738,4.2,Arthur Witulski,1.7
1857506,4.3,Graham Hemingway,3.4
1891550,4.3,Bennett Landman,1.6
2021744,4.5,Gerald Roth,3.1
2091206,4,Amy Kauppila,2.8
2134444,4.3,Abhishek Dubey,3.5
2197326,4.9,Daniel Arena,3.3
2205782,4.1,Taylor Johnson,2.2
2248529,2.6,Dominique Piot,3.6
2272974,4,Zhenkai Zhang,3.5
2290434,2.8,Vikash Singh,2.8
2305666,2,Jack Noble,3.5
2314130,4.6,Peter Volgyesi,2.9
2357581,1.3,Maithilee Kunda,3.3
2359916,4.4,Daniel Balasubramanian,3.5
2361568,4.7,Kevin Leach,3.4
2363308,3.8,Uttam Ghosh,2.6
2411266,3.3,Matthew Berger,4
2415495,5,Christopher White,3
2454695,3,Clifford Anderson,3.5
2456715,2.4,John Beck,3.8
2522283,4.2,Ipek Oguz,3
2522286,4.6,Waseem Abbas,2.6
2555030,4.7,Douglas Schmidt,3.3
2565274,2.5,Clark Turner,3
2579171,3.6,Diego Mesa,3.5
2582826,5,Shilo Anders,1
2584833,4.3,Robert Tairas,2.5
2667309,2.6,Md Kamrul Hasan,3
2689940,5,Yuankai Huo,2.5
2690245,5,Catherine Chang,2
2729239,3.4,Shervin Hajiamini,3.4
2744399,3.8,Soheil Kolouri,3.8
2750807,5,Jonathan Sprinkle,2
2757199,5,Peng Zhang,2.4
2758706,5,David Hyde,5
2763585,5,You Chen,1
2765520,5,Yu Huang,3
2782458,0,Forrest Laine,0
2827524,0,Mudassir Shabbir,0
1,0,Yu Sun,0
2,0,Jie Ying Wu,0
3,0,Dan Lin,0
4,0,Zhijun Yin,0
5,0,Fernanda Eliott,0
6,0,Adrienne Slaughter,0
7,0,Daniel Moyer,0
8,0,Bryan Ward,0
9,0,Edward Klein,0
10,0,Tyler Derr,0
11,0,Daniel Fabbri,0
12,0,Sandeep Neema,0
13,0,Rui Bai,0
14,0,Md Hasan,0
15,0,Hongyang Sun,0
16,0,Edward Stringfellow,0
17,0,Janos Sztipanovits,0
18,0,Bradley Malin,0
19,0,Meiyi Ma,0
20,0,Jesse Spencer-Smith,0
