Subject,Course_no,Tid
CS,1000,881194
CS,1000,2454695
CS,1100,14
CS,1100,2757199
CS,1101,13
CS,1101,2584833
CS,1101,2729239
CS,1101,2248529
CS,1101,2197326
CS,1101,2290434
CS,1103,1047798
CS,1103,2584833
CS,1104,2579171
CS,1104,2584833
CS,1104,2314130
CS,1151,2290434
CS,1151,881194
CS,1151,14
CS,1151,1728738
CS,1151,2565274
CS,1151,2091206
CS,2201,2729239
CS,2201,2021744
CS,2201,197194
CS,2201,14
CS,2201,2290434
CS,2201,2197326
CS,2204,2314130
CS,2212,14
CS,2212,2197326
CS,2212,2579171
CS,2212,198017
CS,2212,555719
CS,2212,2363308
CS,2212,2248529
CS,2212,2522286
CS,2212,15
CS,2212,2522283
CS,2231,2248529
CS,2231,2363308
CS,3250,2197326
CS,3250,555719
CS,3250,2827524
CS,3250,2758706
CS,3250,351771
CS,3251,1857506
CS,3251,2456715
CS,3251,2021744
CS,3252,197194
CS,3253,2555030
CS,3254,2555030
CS,3258,464447
CS,3262,2758706
CS,3262,2579171
CS,3265,3
CS,3265,2290434
CS,3270,2584833
CS,3270,2021744
CS,3274,1040800
CS,3276,2361568
CS,3276,2021744
CS,3281,2729239
CS,3281,2359916
CS,3281,8
CS,3281,12
CS,3281,2248529
CS,3281,2363308
CS,3281,2134444
CS,3860,464447
CS,3860,2415495
CS,3860,2522283
CS,3860,2021744
CS,3860,1857506
CS,3860,959798
CS,3860,1891550
CS,3860,2357581
CS,3860,2690245
CS,3860,522370
CS,3860,938344
CS,3860,2582826
CS,3860,2411266
CS,3860,2134444
CS,3860,1047798
CS,3860,17
CS,3861,464447
CS,3861,1891550
CS,3861,2555030
CS,3861,197194
CS,3861,2415495
CS,3861,938344
CS,3861,1040800
CS,3861,2522283
CS,3861,18
CS,3861,11
CS,3861,2134444
CS,3861,2357581
CS,3861,198017
CS,3861,20
CS,3861,4
CS,3861,2305666
CS,4239,522370
CS,4247,2411266
CS,4249,464447
CS,4260,7
CS,4260,19
CS,4260,2357581
CS,4260,197194
CS,4262,2750807
CS,4262,2690245
CS,4262,2744399
CS,4266,2134444
CS,4266,11
CS,4267,2689940
CS,4269,2357581
CS,4269,197194
CS,4275,2582826
CS,4277,2415495
CS,4278,2290434
CS,4278,2765520
CS,4278,2750807
CS,4278,2415495
CS,4279,2415495
CS,4283,938344
CS,4283,2363308
CS,4285,2363308
CS,4285,2272974
CS,4287,2290434
CS,4287,938344
CS,4288,1857506
CS,4289,1857506
CS,4352,10
CS,4376,2582826
CS,4959,16
CS,4959,555719
CS,103891,2758706
CS,113891,2555030
CS,123891,2
CS,133891,197194
CS,143891,1040800
CS,153891,4
CS,163891,2359916
CS,173891,197194
CS,183891,2582826
CS,193891,2763585
CS,123892,2522283
CS,143892,2782458
